Episode,Avg_Reward,Avg_Q0,Avg_J_Value,Max_Coverage,Action1_Ratio,Valid_Assign_Rate,Sat_Rate,Avg_Angle,Loss_Critic,Loss_Actor,Entropy
1150,129.5315,111.8006,0.0000,16,0.1553,1.0000,1.0000,0.0736,96.742426,0.002245,0.029959
1160,126.1428,110.7451,0.0000,19,0.1712,1.0000,1.0000,0.0926,136.436843,-0.003530,0.030101
1170,124.5442,106.7739,0.0000,17,0.1417,1.0000,1.0000,-0.0421,0.000000,0.000000,0.000000
1180,120.0308,103.6183,0.0000,20,0.1613,1.0000,0.9812,0.1011,0.000000,0.000000,0.000000
1190,122.1981,99.4173,0.0000,16,0.1495,1.0000,1.0000,0.1508,0.000000,0.000000,0.000000
1200,123.8587,98.8779,0.0000,11,0.1100,1.0000,1.0000,-0.0325,0.000000,0.000000,0.000000
1210,125.4484,98.4029,0.0000,19,0.1624,1.0000,1.0000,-0.1991,0.000000,0.000000,0.000000
1220,123.9949,101.3402,0.0000,13,0.1489,0.9286,1.0000,0.1551,0.000000,0.000000,0.000000
1230,132.4773,102.5682,0.0000,14,0.1120,1.0000,1.0000,-0.0814,0.000000,0.000000,0.000000
1240,135.0964,106.1245,0.0000,15,0.1579,1.0000,1.0000,-0.0389,0.000000,0.000000,0.000000
1250,134.8149,108.8015,0.0000,14,0.1728,1.0000,0.9933,0.4196,0.000000,0.000000,0.000000
1260,135.8188,110.8683,0.0000,18,0.2118,1.0000,1.0000,-0.0702,0.000000,0.000000,0.000000
1270,133.7029,112.2170,0.0000,18,0.1488,1.0000,1.0000,-0.0606,0.000000,0.000000,0.000000
1280,129.4983,113.1802,0.0000,10,0.0806,1.0000,1.0000,-0.6238,0.000000,0.000000,0.000000
1290,127.3148,115.1369,0.0000,9,0.0687,1.0000,1.0000,0.3607,0.000000,0.000000,0.000000
1300,127.6840,114.9662,0.0000,20,0.2439,1.0000,1.0000,-0.0029,0.000000,0.000000,0.000000
1310,125.8997,113.9963,0.0000,14,0.1489,1.0000,1.0000,-0.1646,0.000000,0.000000,0.000000
1320,128.5659,113.9526,0.0000,10,0.0813,1.0000,1.0000,-0.0727,156.721228,-0.002386,0.051074
1330,129.0082,114.0678,0.0000,14,0.1217,1.0000,1.0000,0.0083,157.384889,0.000905,0.073547
1340,134.5907,111.2393,0.0000,20,0.2198,1.0000,1.0000,0.2346,232.787097,-0.003296,0.122655
1350,131.9489,110.8727,0.0000,16,0.1481,1.0000,0.9816,-0.1262,125.754081,0.008466,0.103682
1360,134.7289,111.8744,0.0000,19,0.2794,1.0000,1.0000,-0.1558,0.000000,0.000000,0.000000
1370,133.6471,111.6940,0.0000,10,0.1087,1.0000,1.0000,0.2022,0.000000,0.000000,0.000000
1380,132.0526,110.5335,0.0000,12,0.0916,1.0000,1.0000,0.3597,0.000000,0.000000,0.000000
1390,128.9648,112.4510,0.0000,8,0.0920,1.0000,0.9820,-0.3290,0.000000,0.000000,0.000000
1400,134.8727,113.5420,0.0000,23,0.2000,0.9583,0.9899,-0.0376,0.000000,0.000000,0.000000
1410,130.8264,112.3004,0.0000,19,0.1754,0.9500,1.0000,-0.0683,0.000000,0.000000,0.000000
1420,130.9897,111.8432,0.0000,13,0.1667,1.0000,0.9950,-0.3124,0.000000,0.000000,0.000000
1430,132.5308,113.2708,0.0000,13,0.1228,0.9286,1.0000,-0.1679,0.000000,0.000000,0.000000
1440,132.7864,113.3923,0.0000,20,0.2703,1.0000,1.0000,-0.0032,0.000000,0.000000,0.000000
1450,131.7732,113.1150,0.0000,14,0.1538,1.0000,1.0000,0.0474,0.000000,0.000000,0.000000
1460,131.3797,113.6723,0.0000,14,0.1538,1.0000,1.0000,0.0617,0.000000,0.000000,0.000000
1470,132.5232,112.8306,0.0000,19,0.2021,1.0000,0.9933,-0.1469,0.000000,0.000000,0.000000
1480,134.4496,111.2363,0.0000,14,0.1538,1.0000,1.0000,0.0782,0.000000,0.000000,0.000000
1490,134.2140,110.8933,0.0000,17,0.1868,1.0000,1.0000,0.1004,181.280791,0.001561,0.082341
1500,131.2701,110.6371,0.0000,10,0.1282,1.0000,1.0000,0.0351,187.460942,-0.002124,0.069553
1510,131.9615,109.6588,0.0000,11,0.0827,1.0000,1.0000,0.0480,118.040437,0.001288,0.067402
1520,131.6697,109.0038,0.0000,9,0.1023,1.0000,1.0000,-0.1617,141.961012,0.000017,0.060981
1530,130.8630,108.8594,0.0000,18,0.2338,1.0000,0.9795,0.0708,0.000000,0.000000,0.000000
1540,135.3045,108.2674,0.0000,21,0.1736,1.0000,0.9947,0.0581,0.000000,0.000000,0.000000
1550,132.0235,108.3728,0.0000,11,0.0909,1.0000,1.0000,-0.1112,0.000000,0.000000,0.000000
1560,130.0236,109.1028,0.0000,14,0.1045,1.0000,1.0000,-0.2830,0.000000,0.000000,0.000000
1570,132.3071,110.0413,0.0000,16,0.1778,1.0000,1.0000,-0.1922,0.000000,0.000000,0.000000
1580,127.9092,111.3712,0.0000,19,0.1545,1.0000,1.0000,-0.2142,0.000000,0.000000,0.000000
1590,122.0241,112.4123,0.0000,18,0.2143,1.0000,1.0000,0.1455,0.000000,0.000000,0.000000
1600,123.2475,110.7329,0.0000,17,0.1717,1.0000,0.9944,-0.0286,0.000000,0.000000,0.000000
1610,130.1285,109.1972,0.0000,12,0.1165,1.0000,1.0000,0.5385,0.000000,0.000000,0.000000
1620,127.7708,109.9523,0.0000,9,0.0874,1.0000,1.0000,-0.2498,0.000000,0.000000,0.000000
1630,127.9679,110.1426,0.0000,15,0.1875,1.0000,1.0000,0.0734,0.000000,0.000000,0.000000
1640,128.8387,108.9384,0.0000,21,0.2530,1.0000,1.0000,-0.0884,0.000000,0.000000,0.000000
1650,130.8840,110.0202,0.0000,18,0.2278,1.0000,0.9957,-0.1086,0.000000,0.000000,0.000000
1660,128.4182,111.9953,0.0000,14,0.1197,1.0000,1.0000,-0.1534,0.000000,0.000000,0.000000
1670,128.1048,111.9854,0.0000,12,0.1224,1.0000,0.9900,0.0606,0.000000,0.000000,0.000000
1680,130.7054,110.8173,0.0000,14,0.1647,1.0000,1.0000,-0.1005,0.000000,0.000000,0.000000
1690,132.8743,110.4453,0.0000,23,0.1917,1.0000,1.0000,-0.0339,0.000000,0.000000,0.000000
1700,134.3996,110.5027,0.0000,19,0.2111,1.0000,1.0000,-0.0852,0.000000,0.000000,0.000000
1710,132.9311,108.8162,0.0000,20,0.2000,1.0000,1.0000,0.0923,154.769260,0.002725,0.041943
1720,132.3612,107.6241,0.0000,19,0.2262,1.0000,1.0000,0.1779,0.000000,0.000000,0.000000
1730,132.8394,106.9028,0.0000,10,0.1000,1.0000,1.0000,-0.4312,0.000000,0.000000,0.000000
1740,134.7114,106.9464,0.0000,18,0.2093,1.0000,1.0000,0.3124,0.000000,0.000000,0.000000
1750,131.9751,107.1792,0.0000,20,0.2000,1.0000,0.9952,-0.1042,0.000000,0.000000,0.000000
1760,133.9982,107.9315,0.0000,15,0.1923,1.0000,1.0000,0.5610,0.000000,0.000000,0.000000
1770,133.4255,107.8514,0.0000,20,0.2105,1.0000,0.9952,0.2839,0.000000,0.000000,0.000000
1780,135.1405,108.7744,0.0000,9,0.0865,1.0000,1.0000,0.1751,0.000000,0.000000,0.000000
1790,133.5025,109.5951,0.0000,14,0.1167,1.0000,0.9937,0.1073,0.000000,0.000000,0.000000
1800,133.1662,109.6689,0.0000,11,0.1341,1.0000,1.0000,-0.2325,0.000000,0.000000,0.000000
